Application Name,Menu Item Number,Menu Description,Form Name
AlphaLinc,01.20.01.,Edit Predefined Letters  ,INBRIEF - Edit Predefined Letters  
AlphaLinc,01.20.02.,Edit Item Text Parameter,INARTTX - Edit Item Text Parameter
AlphaLinc,01.20.03.,Edit Item Part Parameters,INARTPARA - Edit Item Part Parameters
AlphaLinc,01.20.04.,Enter Slogans,INWERBTX - Enter Slogans
AlphaLinc,01.20.06.,Enter Payment Terms,INKOND - Enter Payment Terms
AlphaLinc,01.20.09.,Edit Bank No.,INBLZ - Edit Bank No.
AlphaLinc,01.20.13.,Enter Postal Zip Code Parameters,INPLZ - Enter Postal Zip Code Parameters
AlphaLinc,01.20.16.,Enter Information Agencies,INAUSK - Enter Information Agencies
AlphaLinc,01.20.18.,Edit Association Master Data,INVERBAND - Edit Association Master Data
AlphaLinc,01.20.20.,Edit Association Customer Data,INVERBANDKUN - Edit Association Customer Data
AlphaLinc,01.20.30.,Edit Hazardous Material,INGEFAHRENSTOFFE - Edit Hazardous Material
AlphaLinc,01.20.80.,Edit Hourly Wage   ,INGOEARBLEIST - Edit Hourly Wage
AlphaLinc,01.20.81.,Edit Automatic Requests,INANGGOENACHF - Edit Automatic Requests
AlphaLinc,01.20.83.,Item Group To Category,INARTGROUP - Item Group To Category  
AlphaLinc,01.20.90.,Automatic E-Mail on Order Status  ,INAKTIONMAIL - Automatic E-Mail on Order Status  
AlphaLinc,01.20.91,Enter Software Licences  ,INLIZ - Enter Software Licenses
AlphaLinc,01.20.92,Print Software Licences  ,INLIZDR - Print Software Licenses
AlphaLinc,01.20.93,Enter IP Numbers  ,INTCPIP - Enter IP Numbers
AlphaLinc,01.20.94,Print IP Number List  ,INTCPIPDR - Print IP Number List
AlphaLinc,01.20.95,Enter Other Addresses  ,INSOADR - Enter Other Addresses
AlphaLinc,01.20.96,Print Other Addresses  ,INSOADLI - Print Other Addresses
AlphaLinc,01.20.97,Edit Selling Discounts/Surcharges,INDISCOUNT - Discount Types
AlphaLinc,01.20.98,Edit Buying Discounts/Surcharges,INSUPBuyingDiscount - Edit Buying Discounts/Surcharges
AlphaLinc,01.21.,Quality Management,
AlphaLinc,01.21.05.,Edit Quality Parameter,INQPRUEF - Edit Quality Parameter
AlphaLinc,01.21.07.,Edit QC Group  ,INQMGRUPPE - Edit QC Group  
AlphaLinc,01.25.,Customer Relationship Management  ,
AlphaLinc,01.25.10.,CRM Master Per Item Group  ,INCRMWG - CRM Master Per Item Group  
AlphaLinc,01.25.15.,CRM Master Per Item  ,INCRMART - CRM Master Per Item  
AlphaLinc,01.25.20.,Edit Reminder Parameter  ,INWERBWVPARA - Edit Reminder Parameter
AlphaLinc,01.26.,Procurement Parameters,
