Data Element Number,Data Element Description,Property Name,Input Type,Relation Database,Class
 <b>Field Selection :</b>
<br>
Relation Database - Starts With = INVERPVOR<br>
71,Shipping Instruction,ShippingInstruction,6 - Text,INVERPVOR - Edit Delivery Rules,INANGPK - Item Supplier Terms 
71,Shipping Instruction,ShippingInstruction,6 - Text,INVERPVOR - Edit Delivery Rules,INARTK - Item Conditions Per Supplier     
71,Shipping Instruction,ShippingInstruction,6 - Text,INVERPVOR - Edit Delivery Rules,INAUFPK - Item Supplier Terms 
71,Shipping Instruction,ShippingInstruction,6 - Text,INVERPVOR - Edit Delivery Rules,INBMEARTK - Item Conditions Per Supplier     
71,Shipping Instruction,ShippingInstruction,6 - Text,INVERPVOR - Edit Delivery Rules,INXAUFPK - Item Supplier Terms 
