Class Name,Class Description
 <b>Field Selection :</b>
<br>
Class Name - Starts With = PA<br>
PAEPOfferModality,Offer Modality
PAEPPurchaseRequisitionStatus,Purchase Requisition Status
PAEPSYSDCM,DCM controlled class
PAEPSaleOffer,Sale Offer
PAEPSaleOfferLine,Sale Offer Line Item
