Transfer Number,Transfer Date,Sending Location,Status
807,14/07/2006,3-05 - Adelaide Store,0 - Created
808,14/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
810,14/07/2006,2 - PHILADELPHIA WAREHOUSE,0 - Created
812,17/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
813,17/07/2006,1 - SANFORD WAREHOUSE,3 - Received
814,17/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
816,17/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
817,17/07/2006,1 - SANFORD WAREHOUSE,3 - Received
820,18/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
821,18/07/2006,1 - SANFORD WAREHOUSE,2 - Sent
822,18/07/2006,2 - PHILADELPHIA WAREHOUSE,3 - Received
823,18/07/2006,1 - SANFORD WAREHOUSE,0 - Created
824,18/07/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
826,18/07/2006,1 - SANFORD WAREHOUSE,0 - Created
827,19/07/2006,2 - PHILADELPHIA WAREHOUSE,2 - Sent
828,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
830,19/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
831,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
832,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
833,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
834,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
835,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
837,19/07/2006,3 - ADELAIDE WAREHOUSE,3 - Received
838,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
839,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
842,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
843,19/07/2006,1 - SANFORD WAREHOUSE,0 - Created
844,20/07/2006,1 - SANFORD WAREHOUSE,3 - Received
845,20/07/2006,1 - SANFORD WAREHOUSE,3 - Received
846,20/07/2006,2 - PHILADELPHIA WAREHOUSE,3 - Received
847,20/07/2006,1 - SANFORD WAREHOUSE,3 - Received
848,20/07/2006,1 - SANFORD WAREHOUSE,0 - Created
849,20/07/2006,1 - SANFORD WAREHOUSE,0 - Created
850,20/07/2006,2 - PHILADELPHIA WAREHOUSE,3 - Received
851,20/07/2006,1 - SANFORD WAREHOUSE,0 - Created
852,20/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
855,20/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
857,21/07/2006,1 - SANFORD WAREHOUSE,0 - Created
858,21/07/2006,1 - SANFORD WAREHOUSE,0 - Created
860,21/07/2006,0 - Do ***NOT*** use this location,0 - Created
861,21/07/2006,1 - SANFORD WAREHOUSE,3 - Received
862,21/07/2006,1 - SANFORD WAREHOUSE,0 - Created
863,21/07/2006,1 - SANFORD WAREHOUSE,0 - Created
864,21/07/2006,1 - SANFORD WAREHOUSE,0 - Created
866,21/07/2006,1 - SANFORD WAREHOUSE,0 - Created
868,21/07/2006,1 - SANFORD WAREHOUSE,0 - Created
869,21/07/2006,1 - SANFORD WAREHOUSE,3 - Received
870,21/07/2006,1 - SANFORD WAREHOUSE,3 - Received
871,24/07/2006,1 - SANFORD WAREHOUSE,2 - Sent
872,24/07/2006,3 - ADELAIDE WAREHOUSE,3 - Received
875,25/07/2006,1 - SANFORD WAREHOUSE,3 - Received
876,25/07/2006,2 - PHILADELPHIA WAREHOUSE,3 - Received
877,26/07/2006,2 - PHILADELPHIA WAREHOUSE,0 - Created
878,26/07/2006,1 - SANFORD WAREHOUSE,1 - Firmed
