Form Name,Form Header or Image File  ,Font Color,Execute After Data Record Deletion  
INAUFBRIEF,Create Manual Letters ,,
INAUFCHECK,Invioce Check To Customers Orders ,,
INAUFDRUCK,Print Order Information  ,,
INAUFE,Self Jobs,,
INAUFGRT,Create Order from Supply,,
INAUFInvReprint,Invoice Re-Printing,,
INAUFKL,Print Order Labels  ,,
INAUFL,Supplier Job,,
INAUFLEIH,Return From Rent Delivery  ,,
INAUFLFAVIS,Enter Shipping Acknowledgements,8 - black,
INAUFLI,Print Delivery Notes,,
INAUFLI1,Process Open Jobs ,8 - black,
INAUFNEU,Create New Orders,8 - black,
INAUFPCLOSE,Close Manual Order,,
INAUFPL,Acknowledge Distribution,,
INAUFPL1,Print Delivery Confirmations/Acknowledgements  ,8 - black,
INAUFPNEU,Add Extra Line Items,,
INAUFPREISLOG1,Order Price/Cost Protocol,,
INAUFPTSN,Line Item Part Serial No. Allocation  ,,
INAUFPTT,,8 - black,
INAUFRELEASE,Release Purchase Order Each Supplier,,
INAUFRELEASEORDER,Release Orders,,
INAUFSLIST,Print Item Part List for Orders,,
INAUFSLIST1,Edit Cost Of Item Parts  ,,
INAUFSORTI,Categories    ,8 - black,
INAUFSPERR,Release Orders  ,,
INAUFSPLIT,Part Shipment Line Item  ,,
INAUFSUCH1,Search For Orders  ,,
INAUFTOM1,Dispatch Planning ,,
INAUFWH,Determine Goods Origin ,,
INBACKJOBS,Summary Background Jobs  ,,
INBAR,Print Item Barcode,8 - black,
INBDE1,Import Electronic Time Stamps,,
INBERECHNUNG,Calculation,,
INBESTANZ,Display Inventory Per Item  ,,
INBESTANZ2,Show Quantity On Hand  ,,
INBESTANZL,Display Items at Location   ,,
INBESTANZL1,Display Items Location   ,,
INBESTANZPDA,Show Stock Location on PDA,,
INBESTLIST1,Inventory List  ,,
INBESTMONAT2,Start Quantity Value Calculation,,
INBESTNULL,Stock Location Without Stock,,
INBESTRUECK,Return Deliveries To Supplier,,
INBESTSALES,Item Quantity Overview  ,,
INBMECAT,Export Item Master Via BMEcat,,
INBMEINVCHECK,Process Incoming Invoices BME,,
INBMELIEFCATIM,Transfer Imported Item Records ,,
INBONKULI,Customers Discount List Per Supplier,,
INBRIEFKUND,Customer Serial Letters,,
INBRIEFLIEF,Supplier Serial Letter,,
INCALL0,Buttons,8 - black,
INCALL2,Print Task List,8 - black,
INCALLBRIEF,Create Manual Letters ,,
INCALLD,Search For Service Jobs,,
INCALLD1,Print Service Documentation,,
INCALLKOSTLIST,Service Cost List  ,,
INCALLPTKS,Start Change Protocol Routine,,
INCALLS,Enter New Service,,
INCALLST,Statistics ,,
INCATALOGITEM,Edit Misc. Line Items ,,
INCHARGEN,Search For Lot No.  ,,
INCHARGENAUF,Batch Number In Orders  ,,
INCONTAINEREINAUS,Container In and Out,,
INCONTAINERL,Print Container Lists  ,,
INCRMFORECAST,Pre-calculation For Expected Orders  ,,
INCRMSYSK,ABC Turnover Analysis    ,,
INCRMSYSK1,CRM  ,,
INDASHBOARD,Dashboard,,
INDATR,Create Debtor Export File,,
INDATRL,Create Direct Debit Bank File,,
INDCMDataLoad,Data Loading  ,,
INDISPATCHCHART,Route Planning,,
INDISPATCHPLAN1,Start Traffic Planning ,,
INDMLIST,Document List  ,8 - black,
INDMSMAHN,Print Due Reminders  (Dunnings),,
INDMSSEND,Export EDI Data  ,,
INDPRRUN,Edit Orders  ,8 - black,
INDRP,Planning Report,,
INDRPBESTVOR1,DRP/MRP Order Suggestion ,,
INDRPDEMANDL,Display Manual Demands,,
INDRPDEMANDN,Enter Demands,,
INDRPDEMANDP,Enter Demands,,
INDRPDESPERR,Release Orders  ,,
INDRPITEMS1,Copy Data from Item Master Data,,
INDRPLODS,List Open Demands/Supplies  ,,
INDRPMESSAGE,DRP/MRP Messages  ,,
INDRPPRODU,Edit Demands From Production Orders,,
INDRPRUN,Outline Supply/Demand For Each Item  ,,
INDRPRUNMAN,Run DRP Process Manually,,
INDRPRUNNOW,Start Process Manually,,
INDRPSTART,Start DRP/MRP Process,,
INDRPSUSPERR,Release Orders  ,,
INDRPUMBUCH,Transfer Stock Location,8 - black,
INDRPUMKURZ,Create New Demand,,
INDRPUMLALI,Print Loading List  ,8 - black,
INDRPUMLALIB,Edit Loading List,8 - black,
INDRPUMLALIB1,Dispatch Planning Processes,,
INDRPUMLIEF,Print Delivery Note  ,8 - black,
INDRPUMLIEFB,Edit Route Planning,8 - black,
INDRPUMLIEFB1,Dispatch Planning Processes,,
INDRPUMLKWLIST,Route Planning,,
INDRPUMMENGE,Dispatch Planning Processes,,
INDRPUMMENGE1,Edit Route Planning,8 - black,
INDRPUMOK,Edit Delivery Confirmation,8 - black,
INDRPUMOK1,Dispatch Planning Processes,,
INDRPUMPICK,Print Pick List  ,8 - black,
INDRPUMPICKB,Edit Pick List  ,8 - black,
INDRPUMPICKB1,Dispatch Planning Processes,,
INDRPUMPICKE,Move Items To Pick Level,8 - black,
INDRPUMPICKO,Print Pick list,8 - black,
INDRPUMSOURCE,Interwarehouse Traffic Sourcing,,
INDRPUMTOUR1,Re-Printing,8 - black,
INDRPUMVO,Print Pick List  ,8 - black,
INDRPUMVOK,Voice Control File Save  ,,
INDRPUMVT,Relocation Route Planning,,
INEDI,Import EDI Data  ,,
INERECHCHECK,Invoice Matching,,
INERECHCHECK1,Invoice Matching,,
INERECHDR,Print Supplier Invoice List,,
INERECHU,Transfer Invoices To General Ledger,,
INFIBEXPO,Export Data to General Ledger,,
INFIBPARCOPY,Copy Preliminary Cost  ,,
INFIBUEU,Recapitulative Statement  ,,
INFIBUM,Transfer Master Data To General Ledger,,
INFIBUM1,Transfer Master Data From Financial  ,,
INFREMDANZ,External Production Overview,,
INFREMDFERT,Print External Production  ,,
INGARANLIST,Print Guarantee List,,
INGOENKWERKANZ,Statistical Tooling Cost,,
INGOENKWERKCOPY,Copy Preliminary Cost Tool  ,,
INGOEQSMDR,Print Sampling  ,,
INGOEVKTEILCOPY,Copy Preliminary Cost  ,,
INGOEVKWERKCOPY,Copy Preliminary Tool Cost,,
ININTRA,Intrastat Message,,
INKADR,Customer Address Labels,,
INKALKEK,New Calculation Of Purchase Prices,,
INKALKVK,New Calculation Of Sales Prices  ,,
INKLEBER,Quick Recording of Stock Receipt,,
INKONFIG,Configure Item ,8 - black,
INKUECH1,Print Cafeteria Food Plan,8 - black,
INKUNDEANF,Create Customer Inquiries  ,,
INKUNDEANFRBRIEF,Create Manual Letters ,,
INKUNDEANFRS1,Enter New Service,,
INKUNDEARTIKEL,All Orders by Item,8 - black,
INKUNDEARTIKEL TARGET=TEILFRAME2,Customer Name,,
INKUNDEBON,Customers Bonus List    ,,
INKUNDEBRIEF,Create Manual Letters ,,
INKUNDEDSUCH,Customer Contacts List,,
INKUNDEL1,Print Customer List,,
INKUNDELST1,Print Customer Master Data,,
INKUNDEOP,Open Invoices - Customers ,,
INKUNDESUCH,Search For Customers,,
INKUNDEWERB,Reactivate Marketing Ad. from Customer File  ,,
INKVERZ,Customer Directory,,
INLADR,Supplier Address Labels  ,,
INLAGERSICHT,Stock Location Overview,,
INLALI,Print Vehicle Load List,,
INLIEFART,Supplier´s Items,,
INLIEFARTCAT,Supplier´s Items,,
